record,Bullied_on_school_property_in_past_12_months,Age,Sex,Felt Lonely,Close Friends,Other Students Kind and Helpful
26639,Yes,13 years old,Male,Sometimes,3 or more,Always
26640,Yes,13 years old,Female,Sometimes,3 or more,Sometimes
26641,No,13 years old,Male,Never,1,Always
26642,No,13 years old,Female,Sometimes,3 or more,Most of the time
26643,No,14 years old,Female,Sometimes,1,Most of the time
26644, ,13 years old,Female,Sometimes,3 or more,Rarely
26645,No,14 years old,Female,Never,1,Sometimes
26646,No,14 years old,Female,Most of the time,0,Most of the time
26647,No,14 years old,Female,Sometimes,3 or more,Rarely
26648,No,14 years old,Male,Most of the time,3 or more,Rarely
26649,No,15 years old,Female,Rarely,3 or more,Always
26650,No,15 years old,Female,Never,0,Rarely
26651,Yes,14 years old,Male,Sometimes,3 or more,Sometimes
26652,No,15 years old,Female,Never,2,Most of the time
26653,No,15 years old,Female,Sometimes,3 or more,Never
26654,No,16 years old,Female,Sometimes,3 or more,Rarely
26655,No,15 years old,Female,Sometimes,3 or more,Most of the time
26656,No,15 years old,Male,Rarely,3 or more,Most of the time
26657,No,15 years old,Female,Sometimes,3 or more,Most of the time
26658,No,15 years old,Male,Always,3 or more,Rarely
26659, ,13 years old,Female,Never,3 or more,Most of the time
26660,No,15 years old,Male,Rarely,3 or more,Most of the time
26661,No,16 years old,Male,Rarely,3 or more,Never
26662,Yes,15 years old,Female,Rarely,3 or more,Sometimes
26663,No,15 years old,Female,Most of the time,0,Sometimes
26664,No,15 years old,Female,Most of the time,3 or more,Most of the time
26665,No,15 years old,Male,Most of the time,3 or more,Rarely
26666,No,17 years old,Male,Rarely,3 or more,Most of the time
26667,No,17 years old,Male,Never,2,Rarely
26668,No,15 years old,Male,Never,3 or more,Most of the time
26669,No,15 years old,Male,Never, ,Always
26670,No,16 years old,Male,Rarely,3 or more,Never
26671,No,15 years old,Female,Never,3 or more,Most of the time
26672,No,15 years old,Male,Never,3 or more,Always
26673,No,17 years old,Female,Sometimes,0,Sometimes
26674,No,16 years old,Female,Never, ,Always
26675,No,15 years old,Male,Never, ,Rarely
26676, ,16 years old,Female,Sometimes,3 or more,Sometimes
26677,No,17 years old,Female,Rarely,0,Sometimes
26678,No,15 years old,Male,Sometimes,3 or more,Sometimes
26679,No,17 years old,Male,Rarely,3 or more,Always
26680,Yes,16 years old,Female,Most of the time,1,Sometimes
26681,No,16 years old,Female,Never,3 or more,Rarely
26682,No,16 years old,Male,Sometimes,1,Most of the time
26683,No,16 years old,Female,Never,3 or more,Most of the time
26684,Yes,16 years old,Male,Sometimes,2,Sometimes
26685,Yes,16 years old,Female,Rarely,2,Rarely
26686,Yes,16 years old,Female,Sometimes,3 or more,Rarely
26687,No,16 years old,Female,Most of the time,0,Sometimes
26688,No,16 years old,Female,Sometimes,1,Sometimes
26689,No,16 years old,Male,Rarely,3 or more,Sometimes
26690,No,17 years old,Male,Sometimes,1,Sometimes
26691,No,16 years old,Female,Sometimes,2,Rarely
26692,No,16 years old,Female,Sometimes,3 or more,Rarely
26693,No,16 years old,Male,Never,3 or more,Always
26694,No,17 years old,Female,Never,2,Most of the time
26695,No,17 years old,Male,Rarely,2,Sometimes
26696,No,17 years old,Male,Rarely,2,Never
26697,No,17 years old,Male,Most of the time,3 or more,Rarely
26698,No,17 years old,Male,Never,3 or more,Most of the time
26699,No,17 years old,Female,Rarely,3 or more,Most of the time
26700,No,17 years old,Female,Sometimes,3 or more,Always
26701,Yes,17 years old,Female,Never,0,Sometimes
26702,No,17 years old,Female,Sometimes,3 or more,Always
26703,Yes,17 years old,Male,Sometimes,3 or more,Sometimes
26704,Yes,17 years old,Male,Most of the time,3 or more,Most of the time
26705,No,13 years old,Female,Rarely,3 or more,Always
26706,No,14 years old,Female,Never,3 or more,Rarely
26707,No,13 years old,Male,Rarely,2,Most of the time
26708,No,13 years old,Male,Never,3 or more,Sometimes
26709, ,13 years old,Female,Sometimes,2,Sometimes
26710,No,13 years old,Male,Sometimes,0,Sometimes
26711,No,13 years old,Male,Sometimes,3 or more,Sometimes
26712,No,13 years old,Male,Never,0,Sometimes
26713,No,13 years old,Male,Never,3 or more,Rarely
26714,No,13 years old,Female,Sometimes,3 or more,Most of the time
26715,Yes,13 years old,Male,Rarely,3 or more,Sometimes
26716,No,13 years old,Male,Sometimes,3 or more,Sometimes
26717,No,13 years old,Female,Rarely,2,Most of the time
26718,No,14 years old,Female,Rarely,3 or more,Most of the time
26719,No,13 years old,Female,Never,3 or more,Always
26720,Yes,13 years old,Male,Rarely,3 or more,Sometimes
26721,Yes,13 years old,Male,Rarely,3 or more,Rarely
26722,Yes,13 years old,Female,Sometimes,3 or more,Never
26723,Yes,13 years old,Male,Most of the time,3 or more,Sometimes
26724,Yes,13 years old,Male,Never,3 or more,Always
26725,No,13 years old,Male,Sometimes,3 or more,Always
26726,No,13 years old,Male,Rarely,3 or more,Most of the time
26727,Yes,13 years old,Male,Sometimes,2,Most of the time
26728,No,13 years old,Male,Never,3 or more,Always
26729,No,14 years old,Female,Sometimes,3 or more,Rarely
26730,No,15 years old,Male,Sometimes,3 or more,Most of the time
26731,No,15 years old,Female,Rarely,3 or more,Always
26732,Yes,14 years old,Male,Sometimes,3 or more,Always
26733,No,15 years old,Male,Sometimes,1,Most of the time
26734,No,14 years old,Female,Sometimes,3 or more,Sometimes
26735,No,14 years old,Female,Rarely,3 or more,Sometimes
26736,No,14 years old,Male,Rarely,3 or more,Most of the time
26737,No,14 years old,Female,Sometimes,3 or more,Always
26738,Yes,14 years old,Female,Sometimes,3 or more,Always
26739,No,14 years old,Male,Sometimes,3 or more,Most of the time
26740,Yes,14 years old,Male,Never,3 or more,Always
26741, ,15 years old,Male,Sometimes,3 or more,Rarely
26742,No,15 years old,Male,Rarely,3 or more,Sometimes
26743,No,14 years old,Female,Sometimes,1,Most of the time
26744,No,14 years old,Female,Never,3 or more,Most of the time
26745,No,13 years old,Female,Sometimes,2,Most of the time
26746,No,14 years old,Male,Never,0,Sometimes
