record,Bullied_on_school_property_in_past_12_months,Age,Sex,Felt Lonely,Close Friends,Other Students Kind and Helpful
1,Yes,13 years old,Female,Always,2,Never
2,No,13 years old,Female,Never,3 or more,Sometimes
3,No,14 years old,Male,Never,3 or more,Sometimes
4,No,16 years old,Male,Never,3 or more,Sometimes
5,No,13 years old,Female,Rarely,3 or more,Most of the time
6,No,13 years old,Male,Never,3 or more,Most of the time
7,No,14 years old,Female,Sometimes,3 or more,Most of the time
8,No,12 years old,Female,Rarely,3 or more,Most of the time
9,No,13 years old,Male,Never,3 or more,Most of the time
10,Yes,14 years old,Female,Always,0,Sometimes
11,No,15 years old,Male,Never,3 or more,Most of the time
12,Yes,13 years old,Female,Sometimes,3 or more,Never
13,No,13 years old,Female,Sometimes,3 or more,Sometimes
14,No,14 years old,Female,Rarely,3 or more, 
15,No,14 years old,Female,Most of the time,3 or more,Sometimes
16,No,13 years old,Female,Always,3 or more,Sometimes
17,No,11 years old or younger,Male,Never,3 or more,Always
18,No,13 years old,Male,Never,0,Sometimes
19,Yes,14 years old,Female,Rarely,3 or more,Rarely
20,No,13 years old,Male,Never,3 or more,Never
21,No,13 years old,Female,Sometimes,3 or more,Most of the time
22, ,14 years old,Male,Never,2,Rarely
23,No,13 years old,Male,Most of the time,3 or more,Rarely
24,No,14 years old,Male,Most of the time,2,Always
25,No,13 years old,Male,Never,3 or more,Sometimes
26,No,13 years old,Female,Sometimes,0,Rarely
27,No,13 years old,Male,Never,3 or more,Most of the time
28,No,14 years old,Female,Always,3 or more,Always
29,No,14 years old,Male, ,3 or more,Rarely
30,Yes,13 years old,Male,Rarely,2,Sometimes
31,No,13 years old,Female,Rarely,3 or more, 
32,No,13 years old,Female,Never,3 or more,Most of the time
33,Yes,14 years old,Female,Sometimes, ,Sometimes
34,No,14 years old,Female,Never,3 or more,Always
35,Yes,14 years old,Female,Most of the time,2,Rarely
36,No,14 years old,Male,Never,3 or more,Always
37,No,13 years old,Female,Rarely,1,Rarely
38,No,13 years old,Male,Rarely,3 or more,Always
39,Yes,14 years old,Female,Most of the time,3 or more, 
40,No,13 years old,Female,Rarely,3 or more,Most of the time
41,Yes,13 years old,Female,Most of the time,3 or more, 
42,Yes,13 years old,Male,Rarely,3 or more,Most of the time
43,Yes,15 years old,Male,Never,3 or more,Never
44,No,14 years old,Female,Never,3 or more,Always
45, ,16 years old,Female,Rarely,3 or more, 
46,Yes,13 years old,Female,Sometimes,3 or more,Rarely
47,No,13 years old,Male,Never,3 or more,Never
48,No,15 years old,Female,Sometimes,3 or more,Sometimes
49,No,14 years old,Female,Rarely,3 or more,Sometimes
50,No,16 years old,Male,Rarely,3 or more,Sometimes
51,No,16 years old,Male,Never,3 or more,Most of the time
52,No,14 years old,Female,Sometimes,3 or more,Never
53,No,14 years old,Female,Rarely,3 or more,Sometimes
54,Yes,15 years old,Male,Rarely,3 or more,Most of the time
55,No,16 years old,Male,Most of the time,0,Sometimes
56,Yes,14 years old,Female,Never,3 or more,Rarely
57,No,15 years old,Male,Rarely,3 or more,Rarely
58,No,15 years old,Male,Rarely,3 or more,Most of the time
59,No,16 years old,Male,Never,3 or more,Most of the time
60,Yes,15 years old,Female,Rarely,3 or more,Most of the time
61,No,15 years old,Female,Always,3 or more,Sometimes
62,No,15 years old,Female,Sometimes,3 or more,Most of the time
63,No,15 years old,Female,Sometimes,1,Rarely
64,No,15 years old,Female,Never,3 or more,Rarely
65,No,16 years old,Female,Most of the time,3 or more,Most of the time
66,No,14 years old,Female,Rarely, ,Most of the time
67,No,14 years old,Female,Never,3 or more,Always
68,No,14 years old,Male,Rarely, ,Sometimes
69, ,16 years old,Female,Always,0,Rarely
70,No,15 years old,Female,Sometimes,3 or more,Sometimes
71,No,14 years old,Male, , ,Always
72,Yes,15 years old,Male,Most of the time,3 or more,Sometimes
73,No,16 years old,Male,Sometimes, ,Sometimes
74,No,16 years old,Male,Never,2,Most of the time
75,No,14 years old,Male, ,2,Rarely
76,No,16 years old,Female,Sometimes,2,Sometimes
77,No,15 years old,Female,Never,3 or more,Always
78,No,14 years old,Female,Always,3 or more,Rarely
79,No,15 years old,Male,Always,3 or more,Always
80,No,17 years old,Female,Never,3 or more,Always
81,No,16 years old,Male,Sometimes,3 or more,Most of the time
82,No,15 years old,Female,Sometimes,3 or more,Most of the time
83,Yes,17 years old,Male,Always,1, 
84,Yes,15 years old,Female,Rarely,3 or more,Never
85,No,15 years old,Female,Rarely,3 or more,Sometimes
86,No,14 years old,Female,Sometimes,3 or more, 
87,Yes,16 years old,Male,Sometimes,1,Most of the time
88,No,15 years old,Male,Rarely,3 or more,Rarely
89,No,15 years old,Female,Most of the time,1,Sometimes
90,No,15 years old,Male,Most of the time,3 or more,Sometimes
91,No,16 years old,Female,Most of the time,2,Sometimes
92,Yes,15 years old,Female,Never,2,Sometimes
93,No,15 years old,Female,Sometimes,3 or more,Sometimes
94,No,15 years old,Female,Never, , 
95,No,17 years old,Male,Sometimes,2,Sometimes
96,No,15 years old,Female,Rarely,2,Rarely
97,Yes,16 years old,Female,Sometimes,3 or more,Sometimes
98,No,16 years old,Female,Never,1,Never
99,No,16 years old,Male,Sometimes,3 or more,Rarely
100,No,16 years old,Male,Never,1,Rarely
101,Yes,15 years old,Female,Sometimes,2,Rarely
102,No,15 years old,Female,Sometimes,2,Sometimes
103,No,15 years old,Female,Rarely,3 or more,Sometimes
104,No,15 years old,Female,Never,1,Sometimes
105,No,16 years old,Female,Never,1,Never
106,No,17 years old,Female,Most of the time,2,Rarely
107,No,15 years old,Female,Sometimes,3 or more,Sometimes
108,No,15 years old,Female,Rarely,3 or more,Sometimes
109,No,16 years old,Male, ,1, 
110,No,17 years old,Female,Always,1,Sometimes
111,No,17 years old,Female,Most of the time,3 or more,Rarely
112, ,16 years old,Male,Always,3 or more,Most of the time
113,No,17 years old,Male,Never,1,Sometimes
114,No,13 years old,Female,Rarely,3 or more,Most of the time
115,Yes,12 years old,Male,Rarely,2,Sometimes
116,No,13 years old,Male,Rarely,3 or more,Rarely
117,No,13 years old,Male,Never,3 or more,Always
118,Yes,13 years old,Female,Sometimes,3 or more,Sometimes
119,Yes,13 years old,Female,Rarely,3 or more,Sometimes
120,No,14 years old,Male,Sometimes,3 or more,Rarely
121,No,13 years old,Male,Never,3 or more,Most of the time
122,Yes,13 years old,Female,Most of the time,1,Always
123,Yes,13 years old,Female,Always,1,Sometimes
124,No,13 years old,Male,Never,3 or more,Most of the time
125,No,14 years old,Male,Never,3 or more,Most of the time
126,Yes,13 years old,Female,Most of the time,2,Most of the time
127,No,13 years old,Male,Most of the time,0,Sometimes
128,No,13 years old,Female,Rarely,3 or more,Sometimes
129,Yes,14 years old,Female,Always,3 or more,Sometimes
130,No,13 years old,Male,Never,3 or more,Rarely
131, ,13 years old,Female,Rarely,3 or more,Most of the time
132,Yes,13 years old,Female,Rarely,3 or more,Sometimes
133,No,13 years old,Female,Sometimes,3 or more,Sometimes
134,No,13 years old,Male,Never,3 or more,Most of the time
135,No,13 years old,Female,Sometimes,3 or more,Most of the time
136,Yes,14 years old,Female,Most of the time,1,Rarely
137,No,13 years old,Male,Rarely,3 or more,Sometimes
138,Yes,13 years old,Female,Sometimes,3 or more,Most of the time
139,Yes,13 years old,Female,Sometimes,1,Sometimes
140,No,15 years old,Male,Rarely,3 or more,Rarely
141,No,14 years old,Female,Sometimes,3 or more,Most of the time
142,No,14 years old,Male,Never,3 or more,Most of the time
143,No,14 years old,Female,Rarely,3 or more,Always
144,No,14 years old,Male,Never,3 or more,Always
145,No,15 years old,Female,Never,3 or more,Most of the time
146,No,14 years old,Male,Rarely,3 or more,Sometimes
147,No,14 years old,Male,Never,2,Most of the time
148,No,14 years old,Female,Sometimes,3 or more,Most of the time
149,No,14 years old,Female,Sometimes,3 or more,Most of the time
150,No,14 years old,Female,Sometimes,2,Never
151,No,14 years old,Male,Never,3 or more,Most of the time
152,No,14 years old,Female,Sometimes, ,Sometimes
153,No,15 years old,Female,Sometimes,3 or more,Most of the time
154,No,14 years old,Female,Most of the time,3 or more,Always
155,Yes,14 years old,Male,Sometimes,0,Always
156,No,14 years old,Female,Sometimes,3 or more,Sometimes
157,No,15 years old,Female,Sometimes,3 or more,Always
158,No,14 years old,Male,Never,2,Never
159,No,13 years old,Male,Sometimes,3 or more,Rarely
160,No,14 years old,Female,Sometimes,2,Always
161,No,14 years old,Female,Sometimes,3 or more,Most of the time
162,No,14 years old,Female,Rarely,3 or more,Sometimes
163,Yes,15 years old,Male,Never,3 or more,Sometimes
164,No,14 years old,Male,Never,2,Rarely
165,No,14 years old,Female,Rarely,3 or more,Always
166,No,15 years old,Female,Most of the time,3 or more,Most of the time
167,No,14 years old,Male,Never,3 or more,Most of the time
168,No,15 years old,Male,Never,3 or more,Always
169,No,14 years old,Male,Rarely,3 or more,Most of the time
170,No,14 years old,Male,Rarely,3 or more,Always
171,Yes,15 years old,Female,Most of the time,2,Most of the time
172,Yes,15 years old,Female,Most of the time,3 or more,Always
173,Yes,15 years old,Female,Most of the time,3 or more,Always
174,Yes,15 years old,Female,Most of the time,0,Rarely
175,Yes,15 years old,Female,Always,0,Rarely
176,No,15 years old,Female,Most of the time, ,Most of the time
177,Yes,15 years old,Female,Sometimes,3 or more,Most of the time
178,No,15 years old,Male,Rarely,3 or more,Most of the time
179,No,15 years old,Female,Most of the time,2,Sometimes
180,No,15 years old,Male,Never,3 or more,Always
181,No,15 years old,Male,Always,0,Rarely
182,No,15 years old,Male,Never,3 or more,Most of the time
183,No,15 years old,Female,Most of the time,1,Always
184,Yes,15 years old, ,Most of the time,3 or more,Rarely
185,No,15 years old,Male,Rarely,3 or more,Always
186,Yes,15 years old,Female,Never,3 or more,Sometimes
187,No,15 years old,Female,Sometimes,3 or more,Most of the time
188,Yes,15 years old,Female,Sometimes,2,Sometimes
189,No,15 years old,Male,Sometimes,3 or more,Most of the time
190,Yes,16 years old,Male,Sometimes,2,Never
191,Yes,15 years old,Female,Sometimes,3 or more,Sometimes
192,No,15 years old,Female,Sometimes,3 or more,Most of the time
193,No,15 years old,Female,Rarely,3 or more,Most of the time
194,Yes,16 years old,Female,Sometimes,3 or more,Most of the time
195,Yes,15 years old,Male,Rarely,1,Most of the time
196,Yes,15 years old,Female,Sometimes,3 or more,Most of the time
197,No,15 years old,Female,Sometimes,3 or more,Rarely
198,No,16 years old,Female,Most of the time,3 or more,Most of the time
199,No,15 years old,Female,Never,3 or more,Always
200,No,16 years old,Female,Sometimes,3 or more,Sometimes
201,Yes,16 years old,Male,Never,2,Sometimes
202,No,16 years old,Female,Sometimes,3 or more,Always
203,No,16 years old,Female,Rarely,1,Rarely
204,No,16 years old,Male,Rarely, ,Always
205,No,16 years old,Female,Sometimes,1,Most of the time
206,No,17 years old,Female,Never,3 or more,Always
207,No,16 years old,Male,Never,3 or more,Most of the time
208,No,16 years old,Male,Rarely,2,Most of the time
209,No,17 years old,Female,Sometimes,3 or more,Most of the time
210,No,17 years old, ,Never,3 or more,Sometimes
211,No,16 years old,Female,Rarely,3 or more,Most of the time
212,No,16 years old,Female,Never,3 or more,Most of the time
213,No,16 years old,Female,Most of the time,1,Rarely
214,No,16 years old,Female,Never,3 or more,Most of the time
215,No,17 years old,Male,Sometimes,3 or more,Always
216,No,17 years old,Male,Rarely,3 or more,Most of the time
217,No,17 years old,Male,Never,3 or more,Always
218,Yes,16 years old,Male,Sometimes,3 or more,Always
219,Yes,16 years old,Male,Sometimes,2,Most of the time
220,Yes,16 years old,Female,Sometimes,2,Sometimes
221,Yes,13 years old,Male,Sometimes,3 or more,Sometimes
222,No,13 years old,Female,Sometimes,3 or more,Sometimes
223,No,14 years old,Female,Sometimes,3 or more,Sometimes
224,No,13 years old,Female,Sometimes,3 or more,Most of the time
225,Yes,13 years old,Male,Rarely,3 or more,Sometimes
226,No,13 years old,Female,Never,3 or more,Most of the time
227,No,13 years old,Female,Rarely,2,Sometimes
228,No,13 years old,Female,Rarely,3 or more,Sometimes
229,Yes,13 years old,Female,Sometimes,3 or more,Most of the time
230,No,13 years old,Male,Never,3 or more,Always
231,No,13 years old,Female,Never,3 or more,Always
232,No,14 years old,Female,Rarely,3 or more,Most of the time
233,No,13 years old,Male,Never,3 or more,Most of the time
234,Yes,14 years old,Female,Sometimes,3 or more,Rarely
235,No,13 years old,Female,Rarely,3 or more,Most of the time
236,No,13 years old,Female,Rarely,3 or more,Always
237,No,14 years old,Male,Never,3 or more,Sometimes
238,Yes,13 years old,Female,Always,3 or more,Always
239,Yes,13 years old,Female,Never,3 or more,Sometimes
240,No,13 years old,Female,Rarely,3 or more,Rarely
241,No,13 years old,Male,Never,3 or more,Most of the time
242,No,13 years old,Female,Sometimes,2,Always
243,No,13 years old,Female,Rarely,3 or more,Rarely
244,Yes,12 years old,Female,Most of the time,2,Sometimes
245,Yes,13 years old,Female,Rarely,2,Sometimes
246,No,13 years old,Female,Rarely,3 or more,Most of the time
247,No,13 years old,Male,Never,3 or more,Rarely
248,No,13 years old,Female,Sometimes,3 or more,Always
249,No,13 years old,Female,Never,3 or more,Always
250,No,13 years old,Female,Rarely,3 or more, 
251,No,13 years old,Female,Rarely,3 or more,Most of the time
252,Yes,14 years old,Male,Rarely,3 or more,Most of the time
253,Yes,13 years old,Male,Never,3 or more,Most of the time
254,No,13 years old,Female,Never,3 or more,Rarely
255,Yes,13 years old,Female,Sometimes,3 or more,Rarely
256,No,13 years old,Female,Rarely,2,Always
257,No,13 years old,Female,Always,0,Rarely
258,Yes,13 years old,Female,Sometimes,3 or more,Never
259,Yes,13 years old,Female,Never,3 or more,Sometimes
260,Yes,13 years old,Male,Sometimes,3 or more,Sometimes
261,No,13 years old,Female,Rarely,3 or more,Most of the time
262,Yes,13 years old,Female,Sometimes,3 or more,Sometimes
263,Yes,13 years old,Male,Sometimes,0,Rarely
264,No,13 years old,Female,Never,3 or more,Sometimes
265,No,13 years old,Female,Rarely,3 or more,Sometimes
266,No,14 years old,Female,Sometimes, ,Rarely
267,No,13 years old,Male,Never,3 or more,Sometimes
268,Yes,14 years old,Female,Never,3 or more,Most of the time
269,No,14 years old,Female,Sometimes,3 or more,Most of the time
270,Yes,13 years old,Male,Rarely,3 or more,Sometimes
271,No,14 years old,Female,Never,3 or more,Rarely
272,No,13 years old,Male,Never,3 or more,Most of the time
273,No,13 years old,Female,Sometimes,3 or more,Most of the time
274,No,13 years old,Male,Never,3 or more,Most of the time
275,No,13 years old,Male,Sometimes,3 or more,Sometimes
276,No,13 years old,Male,Never,1,Sometimes
277,No,14 years old,Male,Always,0,Rarely
278,Yes,13 years old,Male,Always,3 or more,Rarely
279,No,13 years old,Male,Rarely,3 or more,Most of the time
280,No,14 years old,Male,Never,3 or more,Most of the time
281,Yes,14 years old,Male,Rarely,3 or more,Most of the time
282,No,13 years old,Male,Never,3 or more,Most of the time
283,No,14 years old,Male,Never,3 or more,Most of the time
284,No,14 years old,Female,Never,2,Rarely
285,Yes,14 years old,Female,Rarely,3 or more,Rarely
286,No,15 years old,Male,Never,3 or more,Most of the time
287,No,14 years old,Male,Most of the time,0,Sometimes
288,No,15 years old,Male,Sometimes,2,Never
289,No,14 years old,Female,Most of the time,2,Most of the time
290,No,15 years old,Male,Sometimes,2,Rarely
291,No,14 years old,Female,Rarely,3 or more,Always
292,No,15 years old,Male,Sometimes,2,Rarely
293,No,15 years old,Male,Never,3 or more,Always
294,No,14 years old,Female,Most of the time,3 or more,Rarely
295,No,14 years old,Female,Never,3 or more,Never
296,No,14 years old,Male,Most of the time,1,Sometimes
297,No,14 years old,Female,Rarely,1,Sometimes
298,Yes,14 years old,Male,Rarely,3 or more,Sometimes
299,No,14 years old,Female,Never,1,Sometimes
300,No,14 years old,Male,Sometimes,1,Rarely
301,No,14 years old,Female,Sometimes,3 or more,Rarely
302,Yes,14 years old,Female,Sometimes,3 or more,Sometimes
303,No,14 years old,Female,Rarely,1,Most of the time
304,No,15 years old,Female,Rarely,3 or more,Sometimes
305,No,14 years old,Male,Never,3 or more,Sometimes
306, ,14 years old,Male,Never,3 or more,Sometimes
307,No,14 years old,Female,Never,3 or more,Most of the time
308,No,14 years old,Female,Sometimes,3 or more,Most of the time
309,No,16 years old,Male,Rarely,3 or more,Sometimes
310,Yes,15 years old,Female,Sometimes,3 or more,Rarely
311,No,15 years old,Female,Sometimes,2,Most of the time
312,No,15 years old,Female,Sometimes,3 or more,Rarely
313,No,15 years old,Male,Never,3 or more,Always
314,No,16 years old,Female,Most of the time,3 or more,Rarely
315,No,15 years old,Female,Sometimes,3 or more,Rarely
316,No,15 years old,Female,Rarely,3 or more,Rarely
317,Yes,15 years old,Female,Sometimes,3 or more,Rarely
318,No,15 years old,Male,Rarely,1,Rarely
319,No,17 years old,Male,Sometimes,3 or more,Sometimes
320,No,15 years old,Male,Rarely,3 or more,Sometimes
321,No,15 years old,Male,Never,3 or more,Always
322,No,15 years old,Female,Never,3 or more,Rarely
323,No,16 years old,Female,Most of the time,1,Sometimes
324,Yes,15 years old,Female,Most of the time,0,Never
325,No,15 years old,Male,Never,3 or more,Most of the time
326,No,15 years old,Female,Most of the time,3 or more,Sometimes
327,Yes,15 years old,Female,Sometimes,2,Never
328,No,15 years old,Female,Sometimes,3 or more,Most of the time
329,No,15 years old,Female,Rarely,3 or more,Most of the time
330,No,15 years old,Female,Rarely,3 or more,Most of the time
331,No,15 years old,Female,Most of the time,3 or more,Rarely
332,Yes,15 years old,Female,Rarely,3 or more,Most of the time
333,No,15 years old,Female,Rarely,2,Rarely
334,No,15 years old,Female,Most of the time,2,Rarely
335,No,16 years old,Female,Always,2,Never
336,Yes,15 years old,Female,Always,3 or more,Most of the time
337,No,16 years old,Male,Sometimes,3 or more,Most of the time
338,No,15 years old,Female,Most of the time,2,Sometimes
339,No,15 years old,Female,Rarely,1,Most of the time
340,No,15 years old,Female,Rarely,3 or more,Never
341,No,16 years old,Female,Rarely,2,Most of the time
342,No,16 years old,Female,Sometimes,3 or more,Most of the time
343,No,15 years old,Female,Sometimes,1,Most of the time
344,No,16 years old,Male,Sometimes,3 or more,Most of the time
345,Yes,15 years old,Female,Most of the time,3 or more,Most of the time
346,No,15 years old,Female,Sometimes,3 or more,Most of the time
347,No,15 years old,Female,Most of the time,3 or more,Sometimes
348,No,15 years old,Male,Rarely,0,Never
349,No,15 years old,Male,Rarely,3 or more,Most of the time
350,No,15 years old,Male,Most of the time,3 or more,Sometimes
351,No,15 years old,Male,Rarely,3 or more,Always
352,No,15 years old,Male,Rarely,3 or more,Always
353,No,16 years old,Male,Rarely,3 or more,Sometimes
354,No,15 years old,Female,Most of the time,0,Sometimes
355,No,16 years old,Male,Rarely,3 or more,Most of the time
356,No,15 years old,Female,Never,3 or more,Always
357,No,15 years old,Male,Never,3 or more,Rarely
358,Yes,15 years old,Female,Most of the time,2,Sometimes
359,No,15 years old,Male,Rarely,3 or more,Always
360,No,15 years old,Male,Sometimes,3 or more,Always
361,No,17 years old,Female,Never,1,Rarely
362,No,16 years old,Male,Rarely,3 or more,Rarely
363,No,16 years old,Female,Sometimes,0,Rarely
364,No,16 years old,Female,Sometimes,3 or more,Sometimes
365,No,16 years old,Female,Sometimes,3 or more,Sometimes
366,No,16 years old,Male,Rarely,0,Most of the time
367,No,17 years old,Male,Rarely,3 or more,Most of the time
368,No,16 years old,Male,Rarely,3 or more,Sometimes
369,No,16 years old,Female,Never,3 or more,Rarely
370,No,16 years old,Female,Sometimes,3 or more,Always
371,No,16 years old,Female,Sometimes,3 or more,Sometimes
372,No,16 years old,Male,Most of the time,1,Sometimes
373,Yes,16 years old,Female,Most of the time,3 or more,Most of the time
374,No,16 years old,Female,Never,3 or more,Always
375,No,16 years old,Male,Rarely,3 or more,Rarely
376,No,16 years old,Male,Never,1,Most of the time
377,No,17 years old,Male,Sometimes,3 or more,Rarely
378,No,17 years old,Female,Rarely,3 or more,Sometimes
379,No,16 years old,Female,Sometimes,3 or more,Always
380,Yes,16 years old,Female,Always,0,Never
381,No,16 years old,Female,Most of the time,3 or more,Sometimes
382,No,17 years old,Male,Most of the time,3 or more,Sometimes
383,Yes,15 years old,Male,Never,3 or more,Sometimes
384,No,14 years old,Male,Rarely,3 or more,Rarely
385,No,13 years old,Male,Most of the time,3 or more, 
386,No,13 years old,Male,Never,3 or more,Rarely
387,Yes,13 years old,Female,Most of the time,2,Sometimes
388,Yes,14 years old,Female,Never,3 or more,Never
389,No,14 years old,Female,Never,1,Sometimes
390,No,14 years old,Male,Never,1,Most of the time
391,No,13 years old,Female,Never,3 or more,Most of the time
392,No,14 years old,Female,Never, , 
393,No,14 years old,Male,Never,3 or more,Sometimes
394,No,16 years old,Male,Never,3 or more,Sometimes
395,No,15 years old,Female,Sometimes,3 or more,Most of the time
396,No,15 years old,Female,Never,3 or more,Rarely
397,Yes,15 years old,Male,Never,2,Sometimes
398,No,12 years old, ,Sometimes,3 or more,Sometimes
399,No,17 years old,Male,Rarely,3 or more,Sometimes
400,No,14 years old,Female,Sometimes,3 or more,Rarely
401,No,14 years old,Male,Most of the time,3 or more,Rarely
402,No,14 years old,Male,Never,3 or more,Never
403,No,15 years old,Male,Never,3 or more,Most of the time
404,No,15 years old,Male,Rarely,3 or more,Rarely
405,No,17 years old,Male,Most of the time,2,Most of the time
406,Yes,15 years old,Male,Sometimes,3 or more,Most of the time
407,No,17 years old,Female,Never,2,Never
408,No,15 years old,Female,Sometimes,3 or more,Most of the time
409,Yes,16 years old,Male,Most of the time,2,Rarely
410,No,16 years old,Male,Rarely,3 or more,Never
411,No,17 years old,Female,Sometimes,1,Rarely
412,No,16 years old,Female,Rarely,2,Rarely
413,No,15 years old,Male,Sometimes,3 or more,Never
414,Yes,15 years old,Female,Most of the time,3 or more,Rarely
415,Yes,16 years old,Female,Sometimes,1,Most of the time
416,No,17 years old,Male,Sometimes,1, 
417,Yes,16 years old,Female,Sometimes,3 or more,Sometimes
418,No,15 years old,Female,Most of the time,3 or more,Sometimes
419,No, , ,Never,2, 
420,No,16 years old, ,Never,3 or more,Sometimes
421,No,17 years old,Female,Most of the time,0,Rarely
422,No,16 years old,Male,Rarely,3 or more,Sometimes
423,No,16 years old,Female,Never,2,Sometimes
424,No,17 years old,Female,Never,2,Never
425,No,16 years old,Female,Never,2,Most of the time
426,No,15 years old,Female,Sometimes,1,Rarely
427,No,15 years old,Female,Rarely,3 or more,Rarely
428,No,16 years old,Female,Never,3 or more,Always
429,No,13 years old,Female,Sometimes,3 or more,Most of the time
430,No,15 years old,Male,Never,3 or more,Rarely
431,Yes,14 years old,Female,Rarely,0,Never
432,No,13 years old,Male,Never,0,Sometimes
433,Yes,14 years old,Male,Never,1,Never
434,No,14 years old,Male,Never,3 or more,Always
435,Yes,13 years old,Male,Rarely,3 or more,Most of the time
436,Yes,13 years old,Male,Never,3 or more,Sometimes
437,Yes,13 years old,Male,Sometimes,3 or more,Sometimes
438,No,15 years old,Male,Sometimes,3 or more,Rarely
439,No,15 years old,Female,Rarely,2,Most of the time
440,No,14 years old,Male,Sometimes,3 or more,Most of the time
441,No,16 years old,Male,Never,3 or more,Always
442,No,16 years old,Male,Never,3 or more,Sometimes
443,No,14 years old,Male,Never,3 or more,Sometimes
444,No,15 years old,Male,Never,3 or more,Rarely
445,No,15 years old,Male,Never,3 or more,Most of the time
446,No,16 years old,Male,Sometimes,3 or more,Always
447,No,16 years old,Female,Never,0,Never
448,No,18 years old or older,Male,Rarely,3 or more,Sometimes
449,Yes,16 years old, ,Never,2,Never
450,No,15 years old,Male,Never,3 or more,Always
451,Yes,17 years old,Male,Never,2,Rarely
452,No,17 years old,Male,Most of the time,0,Always
453,No,16 years old,Female,Most of the time,0,Rarely
454,No,17 years old,Female,Rarely,3 or more,Sometimes
455,No, , ,Most of the time,2,Sometimes
456,Yes,13 years old,Female,Sometimes,1,Most of the time
457,No,13 years old,Female,Never,3 or more,Sometimes
458,No,14 years old,Female,Sometimes,3 or more,Sometimes
459,Yes,14 years old,Female,Sometimes,3 or more,Sometimes
460,No,15 years old,Female,Sometimes,3 or more,Rarely
461,No,14 years old,Female,Never,1,Never
462,No,14 years old,Female,Never,3 or more,Sometimes
463,No,14 years old,Female,Most of the time,2,Rarely
464,No,13 years old,Female,Never,3 or more,Most of the time
465,No,15 years old,Male,Sometimes,2,Most of the time
466,No,16 years old,Male,Sometimes,3 or more,Rarely
467,No,15 years old,Female,Rarely,3 or more,Most of the time
468,Yes,14 years old,Male,Always,0,Sometimes
469,No,13 years old,Female,Never,3 or more,Sometimes
470,No,13 years old,Male,Sometimes,3 or more,Always
471,No,14 years old,Female,Never,0,Most of the time
472,No,15 years old,Male,Never,3 or more,Sometimes
473,No,13 years old,Male,Never,3 or more,Rarely
474,No,16 years old,Male,Never,3 or more,Never
475,No,17 years old,Male,Sometimes,3 or more,Rarely
476,Yes,14 years old,Female,Always,2,Most of the time
477,No,16 years old,Male,Rarely,2,Always
478,No,14 years old,Female,Never,3 or more,Sometimes
479,No,16 years old,Female,Always,3 or more,Sometimes
480,No,14 years old,Male,Sometimes,3 or more,Rarely
481,No,15 years old,Male,Never,3 or more,Sometimes
482,No,15 years old,Male,Never,3 or more, 
483,No,14 years old,Male,Never,3 or more,Always
484,No,15 years old,Male,Never,3 or more,Sometimes
485,Yes,16 years old,Female,Most of the time,3 or more,Most of the time
486,No,16 years old,Male,Rarely,0,Most of the time
487,Yes,15 years old,Female,Always,1,Sometimes
488,Yes,14 years old,Female,Never,3 or more,Sometimes
489,No,15 years old,Male,Never,3 or more,Always
490,No,15 years old,Female,Sometimes,3 or more,Most of the time
491,Yes,15 years old,Male,Sometimes,3 or more,Most of the time
492,No,14 years old,Female,Never,3 or more,Sometimes
493,No,15 years old,Male,Never,3 or more,Sometimes
494,Yes,15 years old,Male,Most of the time,3 or more,Rarely
495,No,14 years old,Female,Most of the time,3 or more,Rarely
496,No,16 years old,Male,Sometimes,3 or more,Most of the time
497,No,17 years old,Female,Sometimes,3 or more,Most of the time
498,Yes,15 years old,Female,Never,3 or more,Most of the time
499,No,15 years old,Female,Sometimes,1,Always
500,No,15 years old,Female,Sometimes,3 or more,Most of the time
501,No,15 years old,Female,Sometimes,3 or more,Rarely
502,No,17 years old,Female,Most of the time,3 or more,Sometimes
503,No,15 years old,Male,Sometimes,0,Most of the time
504,No,17 years old,Male,Always,1,Always
505,Yes,16 years old,Female,Most of the time,3 or more,Most of the time
506,No,16 years old,Female,Sometimes,2,Sometimes
507,No,16 years old,Female,Sometimes,3 or more,Most of the time
508,No,17 years old,Female,Never,1,Most of the time
509,No,17 years old,Female,Never,3 or more,Never
510,No,16 years old,Female,Never,2,Sometimes
511,Yes,16 years old,Female,Most of the time,2,Rarely
512,No,16 years old,Male,Rarely,2,Always
513,No,13 years old,Female,Sometimes,3 or more,Most of the time
514,Yes,14 years old,Male,Sometimes,2,Rarely
515,No,12 years old,Male,Never,0,Never
516,No,14 years old,Male,Rarely,3 or more,Rarely
517,No,13 years old,Male,Sometimes,3 or more, 
518,Yes,15 years old,Female,Never,2, 
519,No,14 years old,Female,Always,2, 
520,No,13 years old,Female,Sometimes,3 or more,Always
521,No,13 years old,Female,Sometimes,3 or more,Rarely
522,Yes,13 years old,Male,Never,3 or more,Never
523,No,14 years old,Male,Rarely,3 or more,Always
524,No,15 years old,Male,Sometimes,3 or more,Always
525,No,13 years old,Female,Sometimes,2,Most of the time
526,No,12 years old, ,Sometimes,1,Always
527,Yes,13 years old,Female,Rarely,3 or more,Always
528,No,14 years old,Male,Never,1,Sometimes
529,No,13 years old,Female,Sometimes,3 or more,Sometimes
530,Yes,14 years old,Female,Most of the time,3 or more,Rarely
531,No,14 years old,Male,Sometimes,3 or more,Sometimes
